ds,y
10/12/2019,19.23
11/12/2019,19.24
13/12/2019,19.18
16/12/2019,19.05
17/12/2019,18.97
18/12/2019,18.92
19/12/2019,18.95
20/12/2019,18.96
23/12/2019,18.91
24/12/2019,18.94
26/12/2019,18.96
27/12/2019,18.94
30/12/2019,18.85
31/12/2019,18.87
02/01/2020,18.86
03/01/2020,18.88
06/01/2020,18.87
07/01/2020,18.83
08/01/2020,18.89
09/01/2020,18.8
10/01/2020,18.85
13/01/2020,18.77
14/01/2020,18.82
15/01/2020,18.81
16/01/2020,18.81
17/01/2020,18.79
20/01/2020,18.74
21/01/2020,18.67
22/01/2020,18.7
23/01/2020,18.69
24/01/2020,18.8
27/01/2020,18.83
28/01/2020,18.94
29/01/2020,18.8
30/01/2020,18.71
31/01/2020,18.79
04/02/2020,18.91
05/02/2020,18.68
06/02/2020,18.62
07/02/2020,18.66
10/02/2020,18.78
11/02/2020,18.77
12/02/2020,18.67
13/02/2020,18.63
14/02/2020,18.65
17/02/2020,18.57
18/02/2020,18.57
19/02/2020,18.6
20/02/2020,18.59
21/02/2020,18.8
24/02/2020,18.91
25/02/2020,19.12
26/02/2020,19.09
27/02/2020,19.16
28/02/2020,19.4
02/03/2020,19.78
03/03/2020,19.7
04/03/2020,19.28
05/03/2020,19.53
06/03/2020,19.81
09/03/2020,20.16
10/03/2020,21.11
11/03/2020,21.03
12/03/2020,21.21
13/03/2020,22.15
17/03/2020,21.93
18/03/2020,23.06
19/03/2020,23.9
20/03/2020,24.09
23/03/2020,24.11
24/03/2020,25.08
25/03/2020,25.12
26/03/2020,24.29
27/03/2020,23.1
30/03/2020,23.51
31/03/2020,24.29
01/04/2020,23.48
02/04/2020,24.49
03/04/2020,24.11
06/04/2020,24.69
07/04/2020,24.69
08/04/2020,24.04
13/04/2020,24.09
14/04/2020,23.74
15/04/2020,23.56
16/04/2020,24.12
17/04/2020,24.21
20/04/2020,23.9
21/04/2020,24.01
22/04/2020,24.42
23/04/2020,24.59
24/04/2020,24.62
27/04/2020,24.86
28/04/2020,24.85
29/04/2020,24.39
30/04/2020,24
04/05/2020,23.93
05/05/2020,24.38
06/05/2020,23.83
07/05/2020,24.29
08/05/2020,24.06
11/05/2020,23.68
12/05/2020,23.87
13/05/2020,24.05
14/05/2020,24.21
15/05/2020,24.27
18/05/2020,23.96
19/05/2020,23.6
20/05/2020,23.6
21/05/2020,23.3
22/05/2020,22.96
25/05/2020,22.79
26/05/2020,22.56
27/05/2020,22.29
28/05/2020,22.36
29/05/2020,22.2
01/06/2020,22.18
02/06/2020,22.02
03/06/2020,21.68
04/06/2020,21.6
05/06/2020,21.84
08/06/2020,21.58
09/06/2020,21.66
10/06/2020,21.73
11/06/2020,21.92
12/06/2020,22.43
15/06/2020,22.33
16/06/2020,22.54
17/06/2020,22.22
18/06/2020,22.28
19/06/2020,22.61
22/06/2020,22.63
23/06/2020,22.44
24/06/2020,22.41
25/06/2020,22.67
26/06/2020,22.8
29/06/2020,22.97
30/06/2020,23.13
01/07/2020,23.09
02/07/2020,22.81
03/07/2020,22.52
06/07/2020,22.41
07/07/2020,22.28
08/07/2020,22.62
09/07/2020,22.82
10/07/2020,22.69
13/07/2020,22.53
14/07/2020,22.46
15/07/2020,22.62
16/07/2020,22.36
17/07/2020,22.3
20/07/2020,22.49
21/07/2020,22.63
22/07/2020,22.36
23/07/2020,22.25
24/07/2020,22.36
27/07/2020,22.38
28/07/2020,22.03
29/07/2020,21.96
30/07/2020,21.99
31/07/2020,22.17
03/08/2020,22.2
04/08/2020,22.61
05/08/2020,22.78
06/08/2020,22.41
07/08/2020,22.37
10/08/2020,22.49
11/08/2020,22.49
12/08/2020,22.35
13/08/2020,22.35
14/08/2020,22.26
17/08/2020,22.03
18/08/2020,22.06
19/08/2020,22.15
20/08/2020,22.05
21/08/2020,22.18
24/08/2020,22.04
25/08/2020,21.98
26/08/2020,21.97
27/08/2020,21.92
28/08/2020,22.12
31/08/2020,21.86
01/09/2020,21.89
02/09/2020,21.74
03/09/2020,21.84
04/09/2020,21.64
07/09/2020,21.61
08/09/2020,21.59
09/09/2020,21.71
10/09/2020,21.54
11/09/2020,21.28
14/09/2020,21.32
15/09/2020,21.07
17/09/2020,21.07
18/09/2020,20.99
21/09/2020,20.97
22/09/2020,21.51
23/09/2020,21.57
24/09/2020,22.09
25/09/2020,22.37
28/09/2020,22.44
29/09/2020,22.46
30/09/2020,22.36
01/10/2020,22.14
02/10/2020,21.96
05/10/2020,21.7
06/10/2020,21.4
07/10/2020,21.45
08/10/2020,21.49
09/10/2020,21.43
12/10/2020,21.18
13/10/2020,21.22
14/10/2020,21.37
15/10/2020,21.3
16/10/2020,21.38
19/10/2020,21.18
20/10/2020,21.13
21/10/2020,21.09
22/10/2020,21.06
23/10/2020,21.03
26/10/2020,20.92
27/10/2020,20.98
28/10/2020,20.88
29/10/2020,21.16
30/10/2020,21.38
03/11/2020,21.25
04/11/2020,21.16
05/11/2020,21.03
06/11/2020,20.76
09/11/2020,20.62
10/11/2020,20.36
11/11/2020,20.4
12/11/2020,20.58
13/11/2020,20.53
17/11/2020,20.48
18/11/2020,20.32
19/11/2020,20.24
20/11/2020,20.19
23/11/2020,20.12
24/11/2020,20.1
25/11/2020,20.06
26/11/2020,20.05
27/11/2020,20.05
30/11/2020,20.08
01/12/2020,20.14
02/12/2020,20.05
03/12/2020,20.05
04/12/2020,19.91
07/12/2020,19.78
08/12/2020,19.82
09/12/2020,19.75
10/12/2020,19.84
11/12/2020,19.96
14/12/2020,20.11
15/12/2020,20.18
16/12/2020,20.11
17/12/2020,19.95
18/12/2020,19.82
21/12/2020,19.95
22/12/2020,20.09
23/12/2020,20.06
24/12/2020,20.12
28/12/2020,19.85
29/12/2020,20.05
30/12/2020,19.95
31/12/2020,19.94
04/01/2021,19.91
05/01/2021,19.85
06/01/2021,19.94
07/01/2021,19.73
08/01/2021,19.91
11/01/2021,19.97
12/01/2021,20.11
13/01/2021,19.94
14/01/2021,19.79
15/01/2021,19.78
18/01/2021,19.79
19/01/2021,19.76
20/01/2021,19.68
21/01/2021,19.58
22/01/2021,19.74
25/01/2021,19.98
26/01/2021,20.16
27/01/2021,20.02
28/01/2021,20.22
29/01/2021,20.27
02/02/2021,20.22
03/02/2021,20.17
04/02/2021,20.2
05/02/2021,20.44
08/02/2021,20.14
09/02/2021,20.12
10/02/2021,20.09
11/02/2021,20.06
12/02/2021,19.95
15/02/2021,19.96
16/02/2021,19.95
17/02/2021,20.2
18/02/2021,20.23
19/02/2021,20.42
22/02/2021,20.42
23/02/2021,20.68
24/02/2021,20.58
25/02/2021,20.48
26/02/2021,20.85
01/03/2021,20.94
02/03/2021,20.61
03/03/2021,20.69
04/03/2021,20.9
05/03/2021,20.85
08/03/2021,21.26
09/03/2021,21.42
10/03/2021,21.26
11/03/2021,20.99
12/03/2021,20.71
16/03/2021,20.76
