,cve_institucion,cve_concepto,time,value
168,21,130000000000.0,2014-12-01,3247170.590005
169,21,130000000000.0,2015-01-01,3278303.720889
170,21,130000000000.0,2015-02-01,3269084.188788
171,21,130000000000.0,2015-03-01,3308717.693212
172,21,130000000000.0,2015-04-01,3345479.679485
173,21,130000000000.0,2015-05-01,3401358.73716
174,21,130000000000.0,2015-06-01,3403481.885316
175,21,130000000000.0,2015-07-01,3448588.564991
176,21,130000000000.0,2015-08-01,3497910.948505
177,21,130000000000.0,2015-09-01,3560064.486718
178,21,130000000000.0,2015-10-01,3565496.479848
179,21,130000000000.0,2015-11-01,3629833.114385
180,21,130000000000.0,2015-12-01,3742894.394426
181,21,130000000000.0,2016-01-01,3788255.985338
182,21,130000000000.0,2016-02-01,3784970.366348
183,21,130000000000.0,2016-03-01,3788005.494675
184,21,130000000000.0,2016-04-01,3807407.36217
185,21,130000000000.0,2016-05-01,3856754.442735
186,21,130000000000.0,2016-06-01,3946263.40719
187,21,130000000000.0,2016-07-01,3986001.627781
188,21,130000000000.0,2016-08-01,3993224.701828
189,21,130000000000.0,2016-09-01,4069369.574714
190,21,130000000000.0,2016-10-01,4080264.690694
191,21,130000000000.0,2016-11-01,4181565.167227
192,21,130000000000.0,2016-12-01,4245946.156641
193,21,130000000000.0,2017-01-01,4246080.611012
194,21,130000000000.0,2017-02-01,4246398.242775
195,21,130000000000.0,2017-03-01,4259047.909763
196,21,130000000000.0,2017-04-01,4316642.068448
197,21,130000000000.0,2017-05-01,4320668.994739
198,21,130000000000.0,2017-06-01,4368225.567292
199,21,130000000000.0,2017-07-01,4389683.507701
200,21,130000000000.0,2017-08-01,4442411.852592
201,21,130000000000.0,2017-09-01,4482794.939917
202,21,130000000000.0,2017-10-01,4507021.68388
203,21,130000000000.0,2017-11-01,4555731.413633
204,21,130000000000.0,2017-12-01,4644041.875122
205,21,130000000000.0,2018-01-01,4646102.841099
206,21,130000000000.0,2018-02-01,4655184.765623
207,21,130000000000.0,2018-03-01,4667883.629838
208,21,130000000000.0,2018-04-01,4718093.499286
209,21,130000000000.0,2018-05-01,4808814.403221
210,21,130000000000.0,2018-06-01,4870821.389832
211,21,130000000000.0,2018-07-01,4854924.263934
212,21,130000000000.0,2018-08-01,4908497.046802
213,21,130000000000.0,2018-09-01,4933801.178901
214,21,130000000000.0,2018-10-01,4999598.738683
215,21,130000000000.0,2018-11-01,5041051.622796
216,21,130000000000.0,2018-12-01,5075863.446194
217,21,130000000000.0,2019-01-01,5080681.180905
218,21,130000000000.0,2019-02-01,5098496.279857
219,21,130000000000.0,2019-03-01,5144180.136297
220,21,130000000000.0,2019-04-01,5170654.501567
221,21,130000000000.0,2019-05-01,5211989.943634
222,21,130000000000.0,2019-06-01,5237405.94423
223,21,130000000000.0,2019-07-01,5218511.255232
224,21,130000000000.0,2019-08-01,5296070.222802
225,21,130000000000.0,2019-09-01,5215686.316547
226,21,130000000000.0,2019-10-01,5193670.272908
227,21,130000000000.0,2019-11-01,5275987.000634
228,21,130000000000.0,2019-12-01,5286610.097515
229,21,130000000000.0,2020-01-01,5282088.887123
230,21,130000000000.0,2020-02-01,5318989.029157
231,21,130000000000.0,2020-03-01,5642826.273527
232,21,130000000000.0,2020-04-01,5708811.7935
233,21,130000000000.0,2020-05-01,5599188.152608
234,21,130000000000.0,2020-06-01,5519921.584568
235,21,130000000000.0,2020-07-01,5457684.893156
236,21,130000000000.0,2020-08-01,5407580.232955
237,21,130000000000.0,2020-09-01,5376837.284336
238,21,130000000000.0,2020-10-01,5304060.130536
239,21,130000000000.0,2020-11-01,5222714.573043
240,21,130000000000.0,2020-12-01,5166581.921534
241,21,130000000000.0,2021-01-01,5205860.12021
242,21,510000000000.0,2000-12-01,332670.399393
243,21,510000000000.0,2001-01-01,29518.076784
244,21,510000000000.0,2001-02-01,56353.928833
245,21,510000000000.0,2001-03-01,85206.864633
246,21,510000000000.0,2001-04-01,109928.811223
247,21,510000000000.0,2001-05-01,135428.658998
248,21,510000000000.0,2001-06-01,156119.243936
249,21,510000000000.0,2001-07-01,176329.746341999
250,21,510000000000.0,2001-08-01,195791.110767
251,21,510000000000.0,2001-09-01,216498.029787
252,21,510000000000.0,2001-10-01,231318.858602
253,21,510000000000.0,2001-11-01,239316.539384
254,21,510000000000.0,2001-12-01,256643.672573
255,21,510000000000.0,2002-01-01,16931.443259
256,21,510000000000.0,2002-02-01,31977.350408
257,21,510000000000.0,2002-03-01,48317.988114
258,21,510000000000.0,2002-04-01,64265.274896
259,21,510000000000.0,2002-05-01,80619.63141
260,21,510000000000.0,2002-06-01,97508.161696
261,21,510000000000.0,2002-07-01,115126.901698
262,21,510000000000.0,2002-08-01,131705.433567
263,21,510000000000.0,2002-09-01,149118.188039
264,21,510000000000.0,2002-10-01,168520.70788
265,21,510000000000.0,2002-11-01,182595.82574
266,21,510000000000.0,2002-12-01,202919.000422999
267,21,510000000000.0,2003-01-01,18066.378237
268,21,510000000000.0,2003-02-01,34888.955151
269,21,510000000000.0,2003-03-01,55339.2429729999
270,21,510000000000.0,2003-04-01,74195.023137
271,21,510000000000.0,2003-05-01,92438.501635
272,21,510000000000.0,2003-06-01,107054.182709
273,21,510000000000.0,2003-07-01,219542.671127
274,21,510000000000.0,2003-08-01,245427.050372
275,21,510000000000.0,2003-09-01,151687.403098
276,21,510000000000.0,2003-10-01,168234.367975
277,21,510000000000.0,2003-11-01,179893.84349
278,21,510000000000.0,2003-12-01,189088.377684
279,21,510000000000.0,2004-01-01,15276.814057
280,21,510000000000.0,2004-02-01,29720.755403
281,21,510000000000.0,2004-03-01,46771.993965
282,21,510000000000.0,2004-04-01,63266.234662
283,21,510000000000.0,2004-05-01,79953.342391
284,21,510000000000.0,2004-06-01,96597.774453
285,21,510000000000.0,2004-07-01,114109.044296
286,21,510000000000.0,2004-08-01,133062.686201
287,21,510000000000.0,2004-09-01,152049.130561
288,21,510000000000.0,2004-10-01,173149.62781
289,21,510000000000.0,2004-11-01,194547.762099
290,21,510000000000.0,2004-12-01,218386.721338
291,21,510000000000.0,2005-01-01,22298.896747
292,21,510000000000.0,2005-02-01,43175.248655
293,21,510000000000.0,2005-03-01,67216.355649
294,21,510000000000.0,2005-04-01,91611.283494
295,21,510000000000.0,2005-05-01,117636.200038999
296,21,510000000000.0,2005-06-01,142554.923489
297,21,510000000000.0,2005-07-01,168675.905893
298,21,510000000000.0,2005-08-01,195810.705347
299,21,510000000000.0,2005-09-01,224712.623932999
300,21,510000000000.0,2005-10-01,251947.416973
301,21,510000000000.0,2005-11-01,279216.4631
302,21,510000000000.0,2005-12-01,307707.014188
303,21,510000000000.0,2006-01-01,26476.373947
304,21,510000000000.0,2006-02-01,50817.44489
305,21,510000000000.0,2006-03-01,49177.4335
306,21,510000000000.0,2006-04-01,102112.897299
307,21,510000000000.0,2006-05-01,128033.038754
308,21,510000000000.0,2006-06-01,154240.990726
309,21,510000000000.0,2006-07-01,180584.042535
310,21,510000000000.0,2006-08-01,207266.556052
311,21,510000000000.0,2006-09-01,235509.982393
312,21,510000000000.0,2006-10-01,265705.932183999
313,21,510000000000.0,2006-11-01,293737.430089
314,21,510000000000.0,2006-12-01,324649.539629
315,21,510000000000.0,2007-01-01,29087.604733
316,21,510000000000.0,2007-02-01,56464.702649
317,21,510000000000.0,2007-03-01,86063.585126
318,21,510000000000.0,2007-04-01,115147.013457
319,21,510000000000.0,2007-05-01,145018.652679
320,21,510000000000.0,2007-06-01,174745.500275
321,21,510000000000.0,2007-07-01,207741.155971
322,21,510000000000.0,2007-08-01,241637.465443
323,21,510000000000.0,2007-09-01,275201.548944
324,21,510000000000.0,2007-10-01,310704.18419
325,21,510000000000.0,2007-11-01,346085.291967
326,21,510000000000.0,2007-12-01,383273.492509
327,21,510000000000.0,2008-01-01,34774.381381
328,21,510000000000.0,2008-02-01,68299.598208
329,21,510000000000.0,2008-03-01,102860.467207
